Address	Length	Type	String
.rdata:00007FFA4FAE4D00	00000044	C	Artic made this world a better place, killing you with it even more
.rdata:00007FFA4FAE4D48	00000010	C	#NoHaxJustArtic
.rdata:00007FFA4FAE4D58	00000011	C	Artic never dies
.rdata:00007FFA4FAE4D70	0000001A	C	I don't hack I just Artic
.rdata:00007FFA4FAE4D90	00000023	C	A. R. T. I. C. Hack with me today!
.rdata:00007FFA4FAE4DB8	0000001B	C	don't use Artic? ok boomer
.rdata:00007FFA4FAE4DD8	0000001E	C	Artic is better than Optifine
.rdata:00007FFA4FAE4DF8	0000000F	C	#SwitchToArtic
.rdata:00007FFA4FAE4E08	00000007	C	Lcr/p;
.rdata:00007FFA4FAE4E20	00000009	C	USERNAME
.rdata:00007FFA4FAE4E2C	00000007	C	LCLICK
.rdata:00007FFA4FAE4E34	00000007	C	RCLICK
.rdata:00007FFA4FAE4E3C	00000007	C	CANCEL
.rdata:00007FFA4FAE4E48	00000009	C	MIDCLICK
.rdata:00007FFA4FAE4E58	00000009	C	XBUTTON1
.rdata:00007FFA4FAE4E68	00000009	C	XBUTTON2
.rdata:00007FFA4FAE4E80	00000009	C	RESERVED
.rdata:00007FFA4FAE4E8C	00000006	C	CLEAR
.rdata:00007FFA4FAE4E94	00000006	C	ENTER
.rdata:00007FFA4FAE4E9C	00000006	C	SHIFT
.rdata:00007FFA4FAE4EB0	00000006	C	PAUSE
.rdata:00007FFA4FAE4EC4	00000006	C	SPACE
.rdata:00007FFA4FAE4EF4	00000006	C	RIGHT
.rdata:00007FFA4FAE4F04	00000007	C	SELECT
.rdata:00007FFA4FAE4F0C	00000006	C	PRINT
.rdata:00007FFA4FAE4F18	00000008	C	EXECUTE
.rdata:00007FFA4FAE4F20	00000007	C	INSERT
.rdata:00007FFA4FAE4F28	00000007	C	DELETE
.rdata:00007FFA4FAE4FC0	00000006	C	SLEEP
.rdata:00007FFA4FAE4FC8	00000006	C	NUM 0
.rdata:00007FFA4FAE4FD0	00000006	C	NUM 1
.rdata:00007FFA4FAE4FD8	00000006	C	NUM 2
.rdata:00007FFA4FAE4FE0	00000006	C	NUM 3
.rdata:00007FFA4FAE4FE8	00000006	C	NUM 4
.rdata:00007FFA4FAE4FF0	00000006	C	NUM 5
.rdata:00007FFA4FAE4FF8	00000006	C	NUM 6
.rdata:00007FFA4FAE5000	00000006	C	NUM 7
.rdata:00007FFA4FAE5008	00000006	C	NUM 8
.rdata:00007FFA4FAE5010	00000006	C	NUM 9
.rdata:00007FFA4FAE5018	00000009	C	MULTIPLY
.rdata:00007FFA4FAE5028	0000000A	C	SEPARATOR
.rdata:00007FFA4FAE5038	00000009	C	SUBTRACT
.rdata:00007FFA4FAE5048	00000008	C	DECIMAL
.rdata:00007FFA4FAE5050	00000007	C	DIVIDE
.rdata:00007FFA4FAE50BC	00000007	C	LSHIFT
.rdata:00007FFA4FAE50C4	00000007	C	RSHIFT
.rdata:00007FFA4FAE50CC	00000006	C	LCTRL
.rdata:00007FFA4FAE50D4	00000006	C	RCTRL
.rdata:00007FFA4FAE50EC	00000006	C	OEM_1
.rdata:00007FFA4FAE50FC	00000006	C	COMMA
.rdata:00007FFA4FAE5104	00000006	C	MINUS
.rdata:00007FFA4FAE510C	00000007	C	PERIOD
.rdata:00007FFA4FAE5114	00000006	C	OEM_2
.rdata:00007FFA4FAE511C	00000006	C	OEM_3
.rdata:00007FFA4FAE5124	00000006	C	OEM_4
.rdata:00007FFA4FAE512C	00000006	C	OEM_5
.rdata:00007FFA4FAE5134	00000006	C	OEM_6
.rdata:00007FFA4FAE513C	00000006	C	OEM_7
.rdata:00007FFA4FAE5144	00000006	C	OEM_8
.rdata:00007FFA4FAE514C	00000007	C	OEM_AX
.rdata:00007FFA4FAE5158	00000008	C	OEM_102
.rdata:00007FFA4FAE5160	00000009	C	ICO_HELP
.rdata:00007FFA4FAE516C	00000007	C	ICO_00
.rdata:00007FFA4FAE5178	0000000B	C	PROCESSKEY
.rdata:00007FFA4FAE5188	0000000A	C	ICO_CLEAR
.rdata:00007FFA4FAE5194	00000007	C	PACKET
.rdata:00007FFA4FAE519C	00000006	C	RESET
.rdata:00007FFA4FAE51B8	00000007	C	WSCTRL
.rdata:00007FFA4FAE51C0	00000006	C	CUSEL
.rdata:00007FFA4FAE51D0	00000007	C	FINISH
.rdata:00007FFA4FAE51F0	00000008	C	BACKTAB
.rdata:00007FFA4FAE51F8	00000006	C	ATTEN
.rdata:00007FFA4FAE5200	00000006	C	CRSEL
.rdata:00007FFA4FAE5208	00000006	C	EXSEL
.rdata:00007FFA4FAE5210	00000006	C	EREOF
.rdata:00007FFA4FAE5228	00000007	C	NONAME
.rdata:00007FFA4FAE5230	0000000A	C	OEM_CLEAR
.rdata:00007FFA4FAE5240	0000000F	C	KEYBIND: [...]
.rdata:00007FFA4FAE5250	00000010	C	KEYBIND: [NONE]
.rdata:00007FFA4FAE5268	00000009	C	Velocity
.rdata:00007FFA4FAE5274	00000006	C	Reach
.rdata:00007FFA4FAE527C	00000006	C	Speed
.rdata:00007FFA4FAE5284	00000007	C	Flight
.rdata:00007FFA4FAE528C	00000007	C	Strafe
.rdata:00007FFA4FAE5298	0000000A	C	FastPlace
.rdata:00007FFA4FAE52A8	00000009	C	KillAura
.rdata:00007FFA4FAE52B8	00000008	C	AntiBot
.rdata:00007FFA4FAE52C0	0000000C	C	MultiSprint
.rdata:00007FFA4FAE52CC	00000007	C	Hitbox
.rdata:00007FFA4FAE52D8	0000000B	C	NoSlowdown
.rdata:00007FFA4FAE52E8	0000000B	C	FullBright
.rdata:00007FFA4FAE52F4	00000007	C	2D Esp
.rdata:00007FFA4FAE5310	0000000D	C	Artic 1.0 | 
.rdata:00007FFA4FAE5320	0000000A	C	arraylist
.rdata:00007FFA4FAE532C	00000006	C	artic
.rdata:00007FFA4FAE5334	00000007	C	Combat
.rdata:00007FFA4FAE5340	00000009	C	Movement
.rdata:00007FFA4FAE534C	00000007	C	Player
.rdata:00007FFA4FAE5354	00000007	C	Render
.rdata:00007FFA4FAE5360	0000000C	C	##container
.rdata:00007FFA4FAE536C	00000007	C	Enable
.rdata:00007FFA4FAE5380	00000008	C	Max CPS
.rdata:00007FFA4FAE5388	00000008	C	Min CPS
.rdata:00007FFA4FAE5390	00000006	C	Range
.rdata:00007FFA4FAE5398	0000000B	C	KeepSprint
.rdata:00007FFA4FAE53A8	0000000D	C	##container1
.rdata:00007FFA4FAE53B8	0000000D	C	##container2
.rdata:00007FFA4FAE53C8	00000006	C	Value
.rdata:00007FFA4FAE53D0	0000000D	C	##container5
.rdata:00007FFA4FAE53E0	0000000D	C	##container3
.rdata:00007FFA4FAE53F0	0000000D	C	##container4
.rdata:00007FFA4FAE5400	0000000A	C	Kill bots
.rdata:00007FFA4FAE5410	0000000C	C	Flight Mode
.rdata:00007FFA4FAE5420	0000000D	C	Damage Boost
.rdata:00007FFA4FAE5430	0000000C	C	Glide Ticks
.rdata:00007FFA4FAE5440	0000000B	C	Speed Mode
.rdata:00007FFA4FAE5450	00000008	C	ClickTP
.rdata:00007FFA4FAE5458	0000000E	C	ClickTP Range
.rdata:00007FFA4FAE5468	00000007	C	UpClip
.rdata:00007FFA4FAE5470	00000012	C	##containerUpClip
.rdata:00007FFA4FAE5488	0000000D	C	UpClip Range
.rdata:00007FFA4FAE5498	00000009	C	DownClip
.rdata:00007FFA4FAE54A8	00000014	C	##containerDownClip
.rdata:00007FFA4FAE54C0	00000015	C	##containerFastPlace
.rdata:00007FFA4FAE54D8	00000016	C	##containerfullbright
.rdata:00007FFA4FAE54F0	0000000D	C	Strafe Boost
.rdata:00007FFA4FAE5500	0000000D	C	Strafe Ticks
.rdata:00007FFA4FAE5510	0000000A	C	ArrayList
.rdata:00007FFA4FAE5520	00000015	C	ArrayList BackGround
.rdata:00007FFA4FAE5538	00000013	C	ArrayList ColorBar
.rdata:00007FFA4FAE5550	00000012	C	ArrayList Rainbow
.rdata:00007FFA4FAE5568	00000015	C	ArrayList Saturation
.rdata:00007FFA4FAE5588	0000000C	C	Esp Rainbow
.rdata:00007FFA4FAE5598	0000000D	C	opengl32.dll
.rdata:00007FFA4FAE55A8	0000000F	C	wglSwapBuffers
.rdata:00007FFA4FAE55B8	00000010	C	shwNaNEMKjBjdUX
.rdata:00007FFA4FAE55C8	0000001C	C	Can't create winsock, Err# 
.rdata:00007FFA4FAE55E8	00000023	C	Socket unable to be created, Err #
.rdata:00007FFA4FAE5610	00000023	C	Failed to connect to server, Err #
.rdata:00007FFA4FAE5638	0000000D	C	C:\\artic.bin
.rdata:00007FFA4FAE5650	0000000A	C	dll_auth:
.rdata:00007FFA4FAE5660	0000000B	C	dll_banned
.rdata:00007FFA4FAE5670	0000000A	C	dll_kilit
.rdata:00007FFA4FAE5680	0000000B	C	key_locked
.rdata:00007FFA4FAE5690	0000000C	C	key_invalid
.rdata:00007FFA4FAE56A0	0000000C	C	expired_key
.rdata:00007FFA4FAE56B0	0000000D	C	auth_success
.rdata:00007FFA4FAE56C0	00000010	C	vector too long
.rdata:00007FFA4FAE5D05	00000005	C	0\aw,a
.rdata:00007FFA4FAE5E41	00000006	C	Qkkbal
.rdata:00007FFA4FAE609D	00000005	C	wn>Jj
.rdata:00007FFA4FAE6590	00002ECD	C	7])#######hV0qs'/###[),##/l:$#Q6>##5[n42>c-TH`->>#/e>11NNV=Bv(*:.F?uu#(gRU.o0XGH`$vhLG1hxt9?W`#,5LsCp#-i>.r$<$6pD>Lb';9Crc6tgXmKVeU2cD4Eo3R/2*>]b(MC;$jPfY.;h^`IWM9<Lh2TlS+f-s$o6Q<BWH`YiU.xfLq$N;$0iR/GX:U(jcW2p/W*q?-qmnUCI;jHSAiFWM.R*kU@C=GH?a9wp8f$e.-4^Qg1)Q-GL(lf(r/7GrRgwV%MS=C#`8ND>Qo#t'X#(v#Y9w0#1D$CIf;W'#pWUPXOuxXuU(H9M(1<q-UE31#^-V'8IRUo7Qf./L>=Ke$$'5F%)]0^#0X@U.a<r:QLtFsLcL6##lOj)#.Y5<-R&KgLwqJfLgN&;Q?gI^#DY2uLi@^rMl9t=cWq6##weg>$FBjVQTSDgEKnIS7EM9>ZY9w0#L;>>#Mx&4Mvt//L[MkA#W@lK.N'[0#7RL_&#w+F%HtG9M#XL`N&.,GM4Pg;-<nLENhvx>-VsM.M0rJfLH2eTM`*oJMHRC`NkfimM2J,W-jXS:)r0wK#@Fge$U>`w'N7G#$#fB#$E^$#:9:hk+eOe--6x)F7*E%?76%^GMHePW-Z5l'&GiF#$956:rS?dA#fiK:)Yr+`&#0j@'DbG&#^$PG.Ll+DNa<XCMKEV*N)LN/N*b=%Q6pia-Xg8I$<MR&,VdJe$<(7G;Ckl'&hF;;$<_=X(b.RS%%)###MPBuuE1V:v&cX&#2m#(&cV]`k9OhLMbn%s$G2,B$BfD3X*sp5#l,$R#]x_X1xKX%b5U*[r5iMfUo9U`N99hG)tm+/Us9pG)XPu`<0s-)WTt(gCRxIg(%6sfh=ktMKn3j)<6<b5Sk_/0(^]AaN#(p/L>&VZ>1i%h1S9u5o@YaaW$e+b<TWFn/Z:Oh(Cx2$lNEoN^e)#CFY@@I;BOQ*sRwZtZxRcU7uW6CXow0i(?$Q[cjOd[P4d)]>ROPOpxTO7Stwi1::iB1q)C_
